Citation Number,Citation Date,Citation Time,Day of the Week,Age,Race,Sex,Police Beat
YW341477,04/04/2031 12:00:00 AM,803,Fri,42,White,Female,
YW436498,08/08/2020 12:00:00 AM,1839,Sat,38,Asian,Female,
SE588873,03/22/2019 12:00:00 AM,908,Fri,55,White,Female,
SE588869,03/22/2019 12:00:00 AM,831,Fri,67,White,Female,
SE588925,03/22/2019 12:00:00 AM,1804,Fri,38,Black,Male,
SE588862,03/22/2019 12:00:00 AM,734,Fri,59,White,Male,
SE588922,03/22/2019 12:00:00 AM,1801,Fri,67,White,Female,
SE588924,03/22/2019 12:00:00 AM,1804,Fri,38,Black,Male,
SE588866,03/22/2019 12:00:00 AM,753,Fri,34,White,Female,
SE588912,03/22/2019 12:00:00 AM,1628,Fri,53,White,Female,
SE588931,03/22/2019 12:00:00 AM,1845,Fri,57,White,Male,
SE588885,03/22/2019 12:00:00 AM,1245,Fri,24,Black,Male,
SE588878,03/22/2019 12:00:00 AM,1124,Fri,57,White,Female,
SE588915,03/22/2019 12:00:00 AM,1636,Fri,45,White,Female,
SE588916,03/22/2019 12:00:00 AM,1648,Fri,18,White,Female,
SE588861,03/22/2019 12:00:00 AM,650,Fri,25,White,Female,
SE588934,03/22/2019 12:00:00 AM,2130,Fri,19,White,Female,
SE588864,03/22/2019 12:00:00 AM,751,Fri,28,Black,Male,
SE588904,03/22/2019 12:00:00 AM,1435,Fri,27,White,Female,
SE588868,03/22/2019 12:00:00 AM,818,Fri,46,White,Female,
SE588913,03/22/2019 12:00:00 AM,1636,Fri,47,Black,Male,
SE588923,03/22/2019 12:00:00 AM,1801,Fri,67,White,Female,
SE588867,03/22/2019 12:00:00 AM,819,Fri,30,White,Female,
SE588863,03/22/2019 12:00:00 AM,743,Fri,18,White,Male,
SE588875,03/22/2019 12:00:00 AM,1057,Fri,75,White,Male,
SE588874,03/22/2019 12:00:00 AM,1012,Fri,52,White,Male,
SE588888,03/22/2019 12:00:00 AM,1245,Fri,24,Black,Male,
SE588901,03/22/2019 12:00:00 AM,1511,Fri,70,White,Female,
SE588880,03/22/2019 12:00:00 AM,1152,Fri,76,White,Male,
SE588890,03/22/2019 12:00:00 AM,1425,Fri,63,White,Female,
SE588872,03/22/2019 12:00:00 AM,854,Fri,53,Black,Male,
SE588914,03/22/2019 12:00:00 AM,1636,Fri,47,Black,Male,
SE588911,03/22/2019 12:00:00 AM,1555,Fri,21,Black,Female,
SE588865,03/22/2019 12:00:00 AM,753,Fri,34,White,Female,
SE588889,03/22/2019 12:00:00 AM,1406,Fri,22,Black,Female,
SE588871,03/22/2019 12:00:00 AM,842,Fri,77,White,Male,
SE588927,03/22/2019 12:00:00 AM,1821,Fri,42,White,Male,
SE588900,03/22/2019 12:00:00 AM,1500,Fri,43,White,Female,
SE588870,03/22/2019 12:00:00 AM,838,Fri,56,White,Male,
SE588921,03/22/2019 12:00:00 AM,1752,Fri,38,White,Male,
