rpmainid,Stop Date,Stop Time,Day of the Week,Age,Race,Sex,Street Number,Street Name,Police Beat
45963,03/23/2019 12:00:00 AM,20,Sat,22,White,Female,800,LINCOLN ST,76
45953,03/22/2019 12:00:00 AM,1800,Fri,67,White,Female,500,CHICAGO AV/SOUTH BL,72
45954,03/22/2019 12:00:00 AM,1752,Fri,38,White,Male,800,RIDGE AV/WASHINGTON ST,71
45924,03/22/2019 12:00:00 AM,1048,Fri,19,Black,Male,900,MULFORD ST/RIDGE AV,78
45915,03/22/2019 12:00:00 AM,1036,Fri,67,Black,Male,100,BARTON AV/HOWARD ST,78
45913,03/22/2019 12:00:00 AM,821,Fri,46,White,Female,1000,FOREST AV,
45949,03/22/2019 12:00:00 AM,840,Fri,56,White,Male,100,MAIN ST/SHERIDAN RD,72
45918,03/22/2019 12:00:00 AM,1028,Fri,48,White,Female,1200,ASBURY AV,
45948,03/22/2019 12:00:00 AM,819,Fri,30,White,Female,900,FOREST AV/MAIN ST,72
45941,03/22/2019 12:00:00 AM,1658,Fri,79,White,Male,900,LAKE ST/ASBURY AV,
45955,03/22/2019 12:00:00 AM,1823,Fri,42,White,Male,500,SHERIDAN RD/SHERIDAN SQ,72
45952,03/22/2019 12:00:00 AM,1245,Fri,24,Black,Male,,RIDGE AV/DEMPSTER ST,73
45951,03/22/2019 12:00:00 AM,1634,Fri,47,Black,Male,100,KEENEY ST/SHERIDAN RD,72
45958,03/22/2019 12:00:00 AM,2036,Fri,25,Black,Female,1900,CHURCH ST/DODGE AV,77
45947,03/22/2019 12:00:00 AM,1150,Fri,76,White,Male,1100,GROVE ST/OAK AV,73
45946,03/22/2019 12:00:00 AM,1204,Fri,41,White,Male,,RIDGE AV/DEMPSTER ST,73
45945,03/22/2019 12:00:00 AM,1233,Fri,24,Black,Female,,RIDGE AV/DEMPSTER ST,73
45950,03/22/2019 12:00:00 AM,1011,Fri,52,White,Male,1000,DEMPSTER ST/MAPLE AV,73
45942,03/22/2019 12:00:00 AM,1832,Fri,66,White,Male,1800,RIDGE AV,77
45943,03/22/2019 12:00:00 AM,1846,Fri,57,White,Male,500,SHERIDAN RD/SHERIDAN SQ,72
45938,03/22/2019 12:00:00 AM,1628,Fri,53,White,Female,500,SHERIDAN RD/ARNOLD PL,72
45962,03/22/2019 12:00:00 AM,2344,Fri,30,White,Male,100,RIDGE AV/DOBSON ST,78
45960,03/22/2019 12:00:00 AM,2321,Fri,36,Black,Female,800,MAIN ST/ELMWOOD AV,72
45961,03/22/2019 12:00:00 AM,2354,Fri,56,White,Male,1300,MULFORD ST/ASBURY AV,78
45914,03/22/2019 12:00:00 AM,956,Fri,56,White,Male,1200,DEMPSTER ST/RIDGE AV,73
45921,03/22/2019 12:00:00 AM,102,Fri,43,Black,Male,800,CHICAGO AV/WASHINGTON ST,
45922,03/22/2019 12:00:00 AM,845,Fri,77,White,Male,1100,FOREST AV,
45923,03/22/2019 12:00:00 AM,852,Fri,53,Black,Male,1200,GROVE ST/RIDGE AV,73
45936,03/22/2019 12:00:00 AM,1656,Fri,61,White,Male,1300,EMERSON ST/ASBURY AV,77
45956,03/22/2019 12:00:00 AM,1813,Fri,45,Black,Female,500,SHERIDAN RD/SHERIDAN SQ,72
45957,03/22/2019 12:00:00 AM,2130,Fri,19,White,Female,1000,MAIN ST/MAPLE AV,72
45944,03/22/2019 12:00:00 AM,752,Fri,28,Black,Male,300,MAIN ST/FOREST AV,72
45939,03/22/2019 12:00:00 AM,1651,Fri,18,White,Female,900,RIDGE AV,71
45935,03/22/2019 12:00:00 AM,1540,Fri,27,White,Female,300,SHERIDAN RD,
45909,03/22/2019 12:00:00 AM,738,Fri,59,White,Male,1000,FOREST AV,
45940,03/22/2019 12:00:00 AM,1757,Fri,38,Black,Male,,DEMPSTER ST/LINCOLNWOOD DR,
45937,03/22/2019 12:00:00 AM,908,Fri,55,White,Female,300,MAIN ST/FOREST AV,72
45959,03/22/2019 12:00:00 AM,1508,Fri,42,White,Male,1500,RIDGE AV/GROVE ST,74
45934,03/22/2019 12:00:00 AM,1559,Fri,21,Black,Female,400,SHERIDAN RD,
45910,03/22/2019 12:00:00 AM,756,Fri,34,White,Female,1000,FOREST AV,
45933,03/22/2019 12:00:00 AM,1408,Fri,22,Black,Female,1100,GREENLEAF ST,72
45911,03/22/2019 12:00:00 AM,743,Fri,18,White,Male,1100,FOREST AV,
45912,03/22/2019 12:00:00 AM,834,Fri,67,White,Female,1100,FOREST AV,
45932,03/22/2019 12:00:00 AM,1503,Fri,43,White,Female,7700,N SHERIDAN RD,
